symbol,dimension6_moat,moat_score,pricing_score,retention_score,modifiers,penalties,sector,interpretation
TJL.N0000,6.600000000000001,30,60,32,0,-33,Industrial,"Poor Industrial moat - commodity business, no advantages"
TKYO.N0000,58.8,57,65,55,0,0,Industrial,Moderate Industrial moat - some competitive advantages
TKYO.X0000,58.8,57,65,55,0,0,Industrial,Moderate Industrial moat - some competitive advantages
TPL.N0000,51.400000000000006,51,65,65,0,-8,Industrial,Weak Industrial moat - limited competitive advantages
TRAN.N0000,77.5,65,60,85,8,0,Industrial,Strong Industrial moat - solid competitive advantages
TSML.N0000,19.0,30,40,60,0,-23,Industrial,"Poor Industrial moat - commodity business, no advantages"
TYRE.N0000,13.600000000000001,30,40,42,0,-23,Industrial,"Poor Industrial moat - commodity business, no advantages"
UAL.N0000,70.5,70,65,70,10,-8,Financial,Strong Financial moat - solid competitive advantages
UBC.N0000,38.4,30,65,73,0,-15,Financial,"Poor Financial moat - commodity business, no advantages"
UBF.N0000,29.0,35,50,50,0,-15,Financial,"Poor Financial moat - commodity business, no advantages"
UCAR.N0000,57.900000000000006,62,65,52,8,-10,Industrial,Moderate Industrial moat - some competitive advantages
UDPL.N0000,71.0,64,40,78,10,0,Industrial,Strong Industrial moat - solid competitive advantages
UML.N0000,58.800000000000004,51,60,68,0,0,Industrial,Moderate Industrial moat - some competitive advantages
VFIN.N0000,85.0,97,75,90,48,0,Financial,"Exceptional Financial moat - wide competitive advantage, pricing power"
VLL.N0000,89.8,78,80,42,30,-8,Mature,"Exceptional Mature moat - wide competitive advantage, pricing power"
VLL.X0000,89.8,78,80,42,30,-8,Mature,"Exceptional Mature moat - wide competitive advantage, pricing power"
VONE.N0000,88.8,57,70,90,18,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
VPEL.N0000,95.9,97,75,42,30,-8,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
WAPO.N0000,100.0,100,80,90,53,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
WATA.N0000,100.0,93,80,73,30,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
WIND.N0000,94.7,73,75,60,25,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
WLTH.N0000,100.0,85,80,50,35,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
YORK.N0000,13.600000000000001,30,40,42,0,-23,Industrial,"Poor Industrial moat - commodity business, no advantages"
